id,instruction,system,base_total,fine_total,Δ Improvement
1,Swing the pendulum upright and balance it at the top.,"
you are a pendulum controller seeking upright stability

TASK
Generate a minimal, sufficient **trajectory** of target states and a matching 2D array of per-variable **weights** for the given command.

DEFINITIONS
States: ['angle (rad)', 'angular position y (m)', 'angle error (rad)']
Bounds: min = [-3.14, -1.0, -3.14], max = [3.14, 1.0, 3.14]
Current state: [-3.14, 0.0, 3.14]

STRICT OUTPUT SPEC (MUST FOLLOW EXACTLY)
- If the instruction is ambiguous or any required info is missing, output **only**:
  <clarification>clear_text_explaining_what_is_missing_or_ambiguous</clarification>
  (No other text allowed.)

- Otherwise output **exactly these three tags in this order** and nothing else:
  1) <reasoning>...</reasoning>
     - Free text explaining assumptions and why each target state & weighting was chosen.
     - How this trajectory meets the user's request
     - Keep it concise (max ~6 short sentences).
  2) <trajectory>[[...],[...],...]</trajectory>
     - A 2D JSON array (list of rows) of numeric **floats** only.
     - Each row = one target state; each column corresponds to the state variables listed above.
     - Use decimal notation (e.g. 0.125 or 1.0). **Do not** use scientific notation (`1e-3`), expressions, variable names, comments, or trailing commas.
  3) <weights>[[...],[...],...]</weights>
     - A 2D JSON array of floats with **exactly the same shape** as `<trajectory>`.
     - Every element must be in range [0.0, 1.0].
     - Weights are the importance per state variable in the target state not the state itself. These can change at different target states.
     - No extra text or formatting.

VALIDATION STEPS (you must perform these checks before returning)
1. Shape: number of columns in each `<trajectory>` row == number of state variables in `States`. Number of rows in `<weights>` == number of rows in `<trajectory>`. Each corresponding row length must match.
2. Bounds: every trajectory value must satisfy `min <= value <= max` for the corresponding state variable.
3. Weights: every weight must satisfy `0.0 <= weight <= 1.0`.
4. Formatting: `<trajectory>` and `<weights>` must be valid JSON arrays containing only numeric literals (no comments, no text).
If any check fails, **do not** output reasoning or arrays — output **only** a `<clarification>` tag listing the failing checks (short, comma-separated).

ADDITIONAL RULES
- Do not include any other tags or text outside the tags described above.
- Do not guess: if you must assume something to proceed, stop and request clarification using `<clarification>`.
- Include the current state as the first entry in the trajectory

EXAMPLE (format only — replace with real numbers that respect bounds and shapes)
<reasoning>Concise reason for states and weights.</reasoning>
<trajectory>[[0.0, 1.0, 0.5], [0.2, 0.9, 0.1]]</trajectory>
<weights>[[1.0, 0.8, 0.2], [0.9, 0.7, 0.1]]</weights>

Now produce the output for the command that follows.
",0.8918520299797317,0.8436033545792961,-0.04824867540043554
2,Move the cart to x = 1.0 while keeping the pole balanced vertically.,"
you are a continuous cartpole balancing system

TASK
Generate a minimal, sufficient **trajectory** of target states and a matching 2D array of per-variable **weights** for the given command.

DEFINITIONS
States: ['cart position x (m)', 'pole angle (rad)']
Bounds: min = [-2.4, -0.2], max = [2.4, 0.2]
Current state: [0.0, 0.0]

STRICT OUTPUT SPEC (MUST FOLLOW EXACTLY)
- If the instruction is ambiguous or any required info is missing, output **only**:
  <clarification>clear_text_explaining_what_is_missing_or_ambiguous</clarification>
  (No other text allowed.)

- Otherwise output **exactly these three tags in this order** and nothing else:
  1) <reasoning>...</reasoning>
     - Free text explaining assumptions and why each target state & weighting was chosen.
     - How this trajectory meets the user's request
     - Keep it concise (max ~6 short sentences).
  2) <trajectory>[[...],[...],...]</trajectory>
     - A 2D JSON array (list of rows) of numeric **floats** only.
     - Each row = one target state; each column corresponds to the state variables listed above.
     - Use decimal notation (e.g. 0.125 or 1.0). **Do not** use scientific notation (`1e-3`), expressions, variable names, comments, or trailing commas.
  3) <weights>[[...],[...],...]</weights>
     - A 2D JSON array of floats with **exactly the same shape** as `<trajectory>`.
     - Every element must be in range [0.0, 1.0].
     - Weights are the importance per state variable in the target state not the state itself. These can change at different target states.
     - No extra text or formatting.

VALIDATION STEPS (you must perform these checks before returning)
1. Shape: number of columns in each `<trajectory>` row == number of state variables in `States`. Number of rows in `<weights>` == number of rows in `<trajectory>`. Each corresponding row length must match.
2. Bounds: every trajectory value must satisfy `min <= value <= max` for the corresponding state variable.
3. Weights: every weight must satisfy `0.0 <= weight <= 1.0`.
4. Formatting: `<trajectory>` and `<weights>` must be valid JSON arrays containing only numeric literals (no comments, no text).
If any check fails, **do not** output reasoning or arrays — output **only** a `<clarification>` tag listing the failing checks (short, comma-separated).

ADDITIONAL RULES
- Do not include any other tags or text outside the tags described above.
- Do not guess: if you must assume something to proceed, stop and request clarification using `<clarification>`.
- Include the current state as the first entry in the trajectory

EXAMPLE (format only — replace with real numbers that respect bounds and shapes)
<reasoning>Concise reason for states and weights.</reasoning>
<trajectory>[[0.0, 1.0, 0.5], [0.2, 0.9, 0.1]]</trajectory>
<weights>[[1.0, 0.8, 0.2], [0.9, 0.7, 0.1]]</weights>

Now produce the output for the command that follows.
",0.9112551341436913,0.977921800810358,0.06666666666666665
3,"Reach the target at (x = 0.3, y = 0.4) with the robotic arm.","
you are a 2-joint planar reacher robot

TASK
Generate a minimal, sufficient **trajectory** of target states and a matching 2D array of per-variable **weights** for the given command.

DEFINITIONS
States: ['joint1 angle (rad)', 'joint2 angle (rad)', 'end-effector x (m)', 'end-effector y (m)']
Bounds: min = [-3.14, -3.14, -0.5, -0.5], max = [3.14, 3.14, 0.5, 0.5]
Current state: [0.0, 0.0, 0.0, 0.0]

STRICT OUTPUT SPEC (MUST FOLLOW EXACTLY)
- If the instruction is ambiguous or any required info is missing, output **only**:
  <clarification>clear_text_explaining_what_is_missing_or_ambiguous</clarification>
  (No other text allowed.)

- Otherwise output **exactly these three tags in this order** and nothing else:
  1) <reasoning>...</reasoning>
     - Free text explaining assumptions and why each target state & weighting was chosen.
     - How this trajectory meets the user's request
     - Keep it concise (max ~6 short sentences).
  2) <trajectory>[[...],[...],...]</trajectory>
     - A 2D JSON array (list of rows) of numeric **floats** only.
     - Each row = one target state; each column corresponds to the state variables listed above.
     - Use decimal notation (e.g. 0.125 or 1.0). **Do not** use scientific notation (`1e-3`), expressions, variable names, comments, or trailing commas.
  3) <weights>[[...],[...],...]</weights>
     - A 2D JSON array of floats with **exactly the same shape** as `<trajectory>`.
     - Every element must be in range [0.0, 1.0].
     - Weights are the importance per state variable in the target state not the state itself. These can change at different target states.
     - No extra text or formatting.

VALIDATION STEPS (you must perform these checks before returning)
1. Shape: number of columns in each `<trajectory>` row == number of state variables in `States`. Number of rows in `<weights>` == number of rows in `<trajectory>`. Each corresponding row length must match.
2. Bounds: every trajectory value must satisfy `min <= value <= max` for the corresponding state variable.
3. Weights: every weight must satisfy `0.0 <= weight <= 1.0`.
4. Formatting: `<trajectory>` and `<weights>` must be valid JSON arrays containing only numeric literals (no comments, no text).
If any check fails, **do not** output reasoning or arrays — output **only** a `<clarification>` tag listing the failing checks (short, comma-separated).

ADDITIONAL RULES
- Do not include any other tags or text outside the tags described above.
- Do not guess: if you must assume something to proceed, stop and request clarification using `<clarification>`.
- Include the current state as the first entry in the trajectory

EXAMPLE (format only — replace with real numbers that respect bounds and shapes)
<reasoning>Concise reason for states and weights.</reasoning>
<trajectory>[[0.0, 1.0, 0.5], [0.2, 0.9, 0.1]]</trajectory>
<weights>[[1.0, 0.8, 0.2], [0.9, 0.7, 0.1]]</weights>

Now produce the output for the command that follows.
",0.8622616590143869,0.8057249831693498,-0.05653667584503708
4,Walk forward 2 meters at a steady pace without falling.,"
you are a 2D biped walker maintaining balance

TASK
Generate a minimal, sufficient **trajectory** of target states and a matching 2D array of per-variable **weights** for the given command.

DEFINITIONS
States: ['hip angle (rad)', 'knee angle (rad)', 'x position (m)', 'torso tilt (rad)']
Bounds: min = [-1.0, -1.0, 0.0, -0.30000000000000004], max = [1.0, 1.0, 2.5, 0.30000000000000004]
Current state: [0.0, 0.0, 0.0, 0.0]

STRICT OUTPUT SPEC (MUST FOLLOW EXACTLY)
- If the instruction is ambiguous or any required info is missing, output **only**:
  <clarification>clear_text_explaining_what_is_missing_or_ambiguous</clarification>
  (No other text allowed.)

- Otherwise output **exactly these three tags in this order** and nothing else:
  1) <reasoning>...</reasoning>
     - Free text explaining assumptions and why each target state & weighting was chosen.
     - How this trajectory meets the user's request
     - Keep it concise (max ~6 short sentences).
  2) <trajectory>[[...],[...],...]</trajectory>
     - A 2D JSON array (list of rows) of numeric **floats** only.
     - Each row = one target state; each column corresponds to the state variables listed above.
     - Use decimal notation (e.g. 0.125 or 1.0). **Do not** use scientific notation (`1e-3`), expressions, variable names, comments, or trailing commas.
  3) <weights>[[...],[...],...]</weights>
     - A 2D JSON array of floats with **exactly the same shape** as `<trajectory>`.
     - Every element must be in range [0.0, 1.0].
     - Weights are the importance per state variable in the target state not the state itself. These can change at different target states.
     - No extra text or formatting.

VALIDATION STEPS (you must perform these checks before returning)
1. Shape: number of columns in each `<trajectory>` row == number of state variables in `States`. Number of rows in `<weights>` == number of rows in `<trajectory>`. Each corresponding row length must match.
2. Bounds: every trajectory value must satisfy `min <= value <= max` for the corresponding state variable.
3. Weights: every weight must satisfy `0.0 <= weight <= 1.0`.
4. Formatting: `<trajectory>` and `<weights>` must be valid JSON arrays containing only numeric literals (no comments, no text).
If any check fails, **do not** output reasoning or arrays — output **only** a `<clarification>` tag listing the failing checks (short, comma-separated).

ADDITIONAL RULES
- Do not include any other tags or text outside the tags described above.
- Do not guess: if you must assume something to proceed, stop and request clarification using `<clarification>`.
- Include the current state as the first entry in the trajectory

EXAMPLE (format only — replace with real numbers that respect bounds and shapes)
<reasoning>Concise reason for states and weights.</reasoning>
<trajectory>[[0.0, 1.0, 0.5], [0.2, 0.9, 0.1]]</trajectory>
<weights>[[1.0, 0.8, 0.2], [0.9, 0.7, 0.1]]</weights>

Now produce the output for the command that follows.
",0.9337677155492707,0.9193793422453028,-0.014388373303967916
5,Hover the quadrotor at z = 1.5 m while staying centered at x = 0.,"
you are a quadrotor position controller

TASK
Generate a minimal, sufficient **trajectory** of target states and a matching 2D array of per-variable **weights** for the given command.

DEFINITIONS
States: ['x (m)', 'y (m)', 'z (m)', 'roll (rad)', 'pitch (rad)', 'yaw (rad)']
Bounds: min = [-2.0, -2.0, 0.0, -0.30000000000000004, -0.30000000000000004, -3.14], max = [2.0, 2.0, 2.0, 0.30000000000000004, 0.30000000000000004, 3.14]
Current state: [0.0, 0.0, 1.2, 0.0, 0.0, 0.0]

STRICT OUTPUT SPEC (MUST FOLLOW EXACTLY)
- If the instruction is ambiguous or any required info is missing, output **only**:
  <clarification>clear_text_explaining_what_is_missing_or_ambiguous</clarification>
  (No other text allowed.)

- Otherwise output **exactly these three tags in this order** and nothing else:
  1) <reasoning>...</reasoning>
     - Free text explaining assumptions and why each target state & weighting was chosen.
     - How this trajectory meets the user's request
     - Keep it concise (max ~6 short sentences).
  2) <trajectory>[[...],[...],...]</trajectory>
     - A 2D JSON array (list of rows) of numeric **floats** only.
     - Each row = one target state; each column corresponds to the state variables listed above.
     - Use decimal notation (e.g. 0.125 or 1.0). **Do not** use scientific notation (`1e-3`), expressions, variable names, comments, or trailing commas.
  3) <weights>[[...],[...],...]</weights>
     - A 2D JSON array of floats with **exactly the same shape** as `<trajectory>`.
     - Every element must be in range [0.0, 1.0].
     - Weights are the importance per state variable in the target state not the state itself. These can change at different target states.
     - No extra text or formatting.

VALIDATION STEPS (you must perform these checks before returning)
1. Shape: number of columns in each `<trajectory>` row == number of state variables in `States`. Number of rows in `<weights>` == number of rows in `<trajectory>`. Each corresponding row length must match.
2. Bounds: every trajectory value must satisfy `min <= value <= max` for the corresponding state variable.
3. Weights: every weight must satisfy `0.0 <= weight <= 1.0`.
4. Formatting: `<trajectory>` and `<weights>` must be valid JSON arrays containing only numeric literals (no comments, no text).
If any check fails, **do not** output reasoning or arrays — output **only** a `<clarification>` tag listing the failing checks (short, comma-separated).

ADDITIONAL RULES
- Do not include any other tags or text outside the tags described above.
- Do not guess: if you must assume something to proceed, stop and request clarification using `<clarification>`.
- Include the current state as the first entry in the trajectory

EXAMPLE (format only — replace with real numbers that respect bounds and shapes)
<reasoning>Concise reason for states and weights.</reasoning>
<trajectory>[[0.0, 1.0, 0.5], [0.2, 0.9, 0.1]]</trajectory>
<weights>[[1.0, 0.8, 0.2], [0.9, 0.7, 0.1]]</weights>

Now produce the output for the command that follows.
",0.9281247134646433,0.9281247134646433,0.0
6,Swing the double pendulum to upright and stabilize both links.,"
you are an inverted double-pendulum controller

TASK
Generate a minimal, sufficient **trajectory** of target states and a matching 2D array of per-variable **weights** for the given command.

DEFINITIONS
States: ['angle1 (rad)', 'angle2 (rad)', 'angular velocity1', 'angular velocity2']
Bounds: min = [-3.14, -3.14, -5.0, -5.0], max = [3.14, 3.14, 5.0, 5.0]
Current state: [-2.0, -2.5, 2.0, 1.5]

STRICT OUTPUT SPEC (MUST FOLLOW EXACTLY)
- If the instruction is ambiguous or any required info is missing, output **only**:
  <clarification>clear_text_explaining_what_is_missing_or_ambiguous</clarification>
  (No other text allowed.)

- Otherwise output **exactly these three tags in this order** and nothing else:
  1) <reasoning>...</reasoning>
     - Free text explaining assumptions and why each target state & weighting was chosen.
     - How this trajectory meets the user's request
     - Keep it concise (max ~6 short sentences).
  2) <trajectory>[[...],[...],...]</trajectory>
     - A 2D JSON array (list of rows) of numeric **floats** only.
     - Each row = one target state; each column corresponds to the state variables listed above.
     - Use decimal notation (e.g. 0.125 or 1.0). **Do not** use scientific notation (`1e-3`), expressions, variable names, comments, or trailing commas.
  3) <weights>[[...],[...],...]</weights>
     - A 2D JSON array of floats with **exactly the same shape** as `<trajectory>`.
     - Every element must be in range [0.0, 1.0].
     - Weights are the importance per state variable in the target state not the state itself. These can change at different target states.
     - No extra text or formatting.

VALIDATION STEPS (you must perform these checks before returning)
1. Shape: number of columns in each `<trajectory>` row == number of state variables in `States`. Number of rows in `<weights>` == number of rows in `<trajectory>`. Each corresponding row length must match.
2. Bounds: every trajectory value must satisfy `min <= value <= max` for the corresponding state variable.
3. Weights: every weight must satisfy `0.0 <= weight <= 1.0`.
4. Formatting: `<trajectory>` and `<weights>` must be valid JSON arrays containing only numeric literals (no comments, no text).
If any check fails, **do not** output reasoning or arrays — output **only** a `<clarification>` tag listing the failing checks (short, comma-separated).

ADDITIONAL RULES
- Do not include any other tags or text outside the tags described above.
- Do not guess: if you must assume something to proceed, stop and request clarification using `<clarification>`.
- Include the current state as the first entry in the trajectory

EXAMPLE (format only — replace with real numbers that respect bounds and shapes)
<reasoning>Concise reason for states and weights.</reasoning>
<trajectory>[[0.0, 1.0, 0.5], [0.2, 0.9, 0.1]]</trajectory>
<weights>[[1.0, 0.8, 0.2], [0.9, 0.7, 0.1]]</weights>

Now produce the output for the command that follows.
",0.8708878958894246,0.8514782705886745,-0.019409625300750077
7,Extend the robot arm straight up to grab an object at height = 1.0 m.,"
you are a vertical-plane robotic arm controller

TASK
Generate a minimal, sufficient **trajectory** of target states and a matching 2D array of per-variable **weights** for the given command.

DEFINITIONS
States: ['joint1 angle (rad)', 'joint2 angle (rad)', 'end-effector height (m)']
Bounds: min = [-1.57, -1.57, 0.0], max = [1.57, 1.57, 1.2]
Current state: [0.0, 0.0, 0.6000000000000001]

STRICT OUTPUT SPEC (MUST FOLLOW EXACTLY)
- If the instruction is ambiguous or any required info is missing, output **only**:
  <clarification>clear_text_explaining_what_is_missing_or_ambiguous</clarification>
  (No other text allowed.)

- Otherwise output **exactly these three tags in this order** and nothing else:
  1) <reasoning>...</reasoning>
     - Free text explaining assumptions and why each target state & weighting was chosen.
     - How this trajectory meets the user's request
     - Keep it concise (max ~6 short sentences).
  2) <trajectory>[[...],[...],...]</trajectory>
     - A 2D JSON array (list of rows) of numeric **floats** only.
     - Each row = one target state; each column corresponds to the state variables listed above.
     - Use decimal notation (e.g. 0.125 or 1.0). **Do not** use scientific notation (`1e-3`), expressions, variable names, comments, or trailing commas.
  3) <weights>[[...],[...],...]</weights>
     - A 2D JSON array of floats with **exactly the same shape** as `<trajectory>`.
     - Every element must be in range [0.0, 1.0].
     - Weights are the importance per state variable in the target state not the state itself. These can change at different target states.
     - No extra text or formatting.

VALIDATION STEPS (you must perform these checks before returning)
1. Shape: number of columns in each `<trajectory>` row == number of state variables in `States`. Number of rows in `<weights>` == number of rows in `<trajectory>`. Each corresponding row length must match.
2. Bounds: every trajectory value must satisfy `min <= value <= max` for the corresponding state variable.
3. Weights: every weight must satisfy `0.0 <= weight <= 1.0`.
4. Formatting: `<trajectory>` and `<weights>` must be valid JSON arrays containing only numeric literals (no comments, no text).
If any check fails, **do not** output reasoning or arrays — output **only** a `<clarification>` tag listing the failing checks (short, comma-separated).

ADDITIONAL RULES
- Do not include any other tags or text outside the tags described above.
- Do not guess: if you must assume something to proceed, stop and request clarification using `<clarification>`.
- Include the current state as the first entry in the trajectory

EXAMPLE (format only — replace with real numbers that respect bounds and shapes)
<reasoning>Concise reason for states and weights.</reasoning>
<trajectory>[[0.0, 1.0, 0.5], [0.2, 0.9, 0.1]]</trajectory>
<weights>[[1.0, 0.8, 0.2], [0.9, 0.7, 0.1]]</weights>

Now produce the output for the command that follows.
",0.8619076385791826,0.8869076385791826,0.025000000000000022
8,"Steer the underwater vehicle to x = 1.0, y = -0.5 at depth = 1.2 m.","
you are an underwater AUV position controller

TASK
Generate a minimal, sufficient **trajectory** of target states and a matching 2D array of per-variable **weights** for the given command.

DEFINITIONS
States: ['x (m)', 'y (m)', 'z (m)', 'roll (rad)', 'pitch (rad)', 'yaw (rad)']
Bounds: min = [-2.0, -2.0, 0.0, -0.30000000000000004, -0.30000000000000004, -3.14], max = [2.0, 2.0, 2.0, 0.30000000000000004, 0.30000000000000004, 3.14]
Current state: [0.0, 0.0, 1.0, 0.0, 0.0, 0.0]

STRICT OUTPUT SPEC (MUST FOLLOW EXACTLY)
- If the instruction is ambiguous or any required info is missing, output **only**:
  <clarification>clear_text_explaining_what_is_missing_or_ambiguous</clarification>
  (No other text allowed.)

- Otherwise output **exactly these three tags in this order** and nothing else:
  1) <reasoning>...</reasoning>
     - Free text explaining assumptions and why each target state & weighting was chosen.
     - How this trajectory meets the user's request
     - Keep it concise (max ~6 short sentences).
  2) <trajectory>[[...],[...],...]</trajectory>
     - A 2D JSON array (list of rows) of numeric **floats** only.
     - Each row = one target state; each column corresponds to the state variables listed above.
     - Use decimal notation (e.g. 0.125 or 1.0). **Do not** use scientific notation (`1e-3`), expressions, variable names, comments, or trailing commas.
  3) <weights>[[...],[...],...]</weights>
     - A 2D JSON array of floats with **exactly the same shape** as `<trajectory>`.
     - Every element must be in range [0.0, 1.0].
     - Weights are the importance per state variable in the target state not the state itself. These can change at different target states.
     - No extra text or formatting.

VALIDATION STEPS (you must perform these checks before returning)
1. Shape: number of columns in each `<trajectory>` row == number of state variables in `States`. Number of rows in `<weights>` == number of rows in `<trajectory>`. Each corresponding row length must match.
2. Bounds: every trajectory value must satisfy `min <= value <= max` for the corresponding state variable.
3. Weights: every weight must satisfy `0.0 <= weight <= 1.0`.
4. Formatting: `<trajectory>` and `<weights>` must be valid JSON arrays containing only numeric literals (no comments, no text).
If any check fails, **do not** output reasoning or arrays — output **only** a `<clarification>` tag listing the failing checks (short, comma-separated).

ADDITIONAL RULES
- Do not include any other tags or text outside the tags described above.
- Do not guess: if you must assume something to proceed, stop and request clarification using `<clarification>`.
- Include the current state as the first entry in the trajectory

EXAMPLE (format only — replace with real numbers that respect bounds and shapes)
<reasoning>Concise reason for states and weights.</reasoning>
<trajectory>[[0.0, 1.0, 0.5], [0.2, 0.9, 0.1]]</trajectory>
<weights>[[1.0, 0.8, 0.2], [0.9, 0.7, 0.1]]</weights>

Now produce the output for the command that follows.
",0.9225680257323241,0.8991422742601167,-0.02342575147220738
9,"Make the humanoid bend to pick up an item at y = 0.3 m, then return upright.","
you are a humanoid balance controller

TASK
Generate a minimal, sufficient **trajectory** of target states and a matching 2D array of per-variable **weights** for the given command.

DEFINITIONS
States: ['torso angle (rad)', 'knee angle (rad)', 'hand height (m)']
Bounds: min = [-1.0, -1.0, 0.0], max = [1.0, 1.0, 1.5]
Current state: [0.0, 0.0, 1.0]

STRICT OUTPUT SPEC (MUST FOLLOW EXACTLY)
- If the instruction is ambiguous or any required info is missing, output **only**:
  <clarification>clear_text_explaining_what_is_missing_or_ambiguous</clarification>
  (No other text allowed.)

- Otherwise output **exactly these three tags in this order** and nothing else:
  1) <reasoning>...</reasoning>
     - Free text explaining assumptions and why each target state & weighting was chosen.
     - How this trajectory meets the user's request
     - Keep it concise (max ~6 short sentences).
  2) <trajectory>[[...],[...],...]</trajectory>
     - A 2D JSON array (list of rows) of numeric **floats** only.
     - Each row = one target state; each column corresponds to the state variables listed above.
     - Use decimal notation (e.g. 0.125 or 1.0). **Do not** use scientific notation (`1e-3`), expressions, variable names, comments, or trailing commas.
  3) <weights>[[...],[...],...]</weights>
     - A 2D JSON array of floats with **exactly the same shape** as `<trajectory>`.
     - Every element must be in range [0.0, 1.0].
     - Weights are the importance per state variable in the target state not the state itself. These can change at different target states.
     - No extra text or formatting.

VALIDATION STEPS (you must perform these checks before returning)
1. Shape: number of columns in each `<trajectory>` row == number of state variables in `States`. Number of rows in `<weights>` == number of rows in `<trajectory>`. Each corresponding row length must match.
2. Bounds: every trajectory value must satisfy `min <= value <= max` for the corresponding state variable.
3. Weights: every weight must satisfy `0.0 <= weight <= 1.0`.
4. Formatting: `<trajectory>` and `<weights>` must be valid JSON arrays containing only numeric literals (no comments, no text).
If any check fails, **do not** output reasoning or arrays — output **only** a `<clarification>` tag listing the failing checks (short, comma-separated).

ADDITIONAL RULES
- Do not include any other tags or text outside the tags described above.
- Do not guess: if you must assume something to proceed, stop and request clarification using `<clarification>`.
- Include the current state as the first entry in the trajectory

EXAMPLE (format only — replace with real numbers that respect bounds and shapes)
<reasoning>Concise reason for states and weights.</reasoning>
<trajectory>[[0.0, 1.0, 0.5], [0.2, 0.9, 0.1]]</trajectory>
<weights>[[1.0, 0.8, 0.2], [0.9, 0.7, 0.1]]</weights>

Now produce the output for the command that follows.
",0.9530109301670321,0.9049411629313314,-0.04806976723570067
10,Balance the inverted pendulum on a moving cart after a disturbance.,"
you are an inverted-pendulum recovery controller

TASK
Generate a minimal, sufficient **trajectory** of target states and a matching 2D array of per-variable **weights** for the given command.

DEFINITIONS
States: ['cart x (m)', 'cart velocity (m/s)', 'pole angle (rad)', 'pole angular velocity (rad/s)']
Bounds: min = [-2.0, -2.0, -0.5, -2.0], max = [2.0, 2.0, 0.5, 2.0]
Current state: [0.0, 0.5, 0.2, -0.5]

STRICT OUTPUT SPEC (MUST FOLLOW EXACTLY)
- If the instruction is ambiguous or any required info is missing, output **only**:
  <clarification>clear_text_explaining_what_is_missing_or_ambiguous</clarification>
  (No other text allowed.)

- Otherwise output **exactly these three tags in this order** and nothing else:
  1) <reasoning>...</reasoning>
     - Free text explaining assumptions and why each target state & weighting was chosen.
     - How this trajectory meets the user's request
     - Keep it concise (max ~6 short sentences).
  2) <trajectory>[[...],[...],...]</trajectory>
     - A 2D JSON array (list of rows) of numeric **floats** only.
     - Each row = one target state; each column corresponds to the state variables listed above.
     - Use decimal notation (e.g. 0.125 or 1.0). **Do not** use scientific notation (`1e-3`), expressions, variable names, comments, or trailing commas.
  3) <weights>[[...],[...],...]</weights>
     - A 2D JSON array of floats with **exactly the same shape** as `<trajectory>`.
     - Every element must be in range [0.0, 1.0].
     - Weights are the importance per state variable in the target state not the state itself. These can change at different target states.
     - No extra text or formatting.

VALIDATION STEPS (you must perform these checks before returning)
1. Shape: number of columns in each `<trajectory>` row == number of state variables in `States`. Number of rows in `<weights>` == number of rows in `<trajectory>`. Each corresponding row length must match.
2. Bounds: every trajectory value must satisfy `min <= value <= max` for the corresponding state variable.
3. Weights: every weight must satisfy `0.0 <= weight <= 1.0`.
4. Formatting: `<trajectory>` and `<weights>` must be valid JSON arrays containing only numeric literals (no comments, no text).
If any check fails, **do not** output reasoning or arrays — output **only** a `<clarification>` tag listing the failing checks (short, comma-separated).

ADDITIONAL RULES
- Do not include any other tags or text outside the tags described above.
- Do not guess: if you must assume something to proceed, stop and request clarification using `<clarification>`.
- Include the current state as the first entry in the trajectory

EXAMPLE (format only — replace with real numbers that respect bounds and shapes)
<reasoning>Concise reason for states and weights.</reasoning>
<trajectory>[[0.0, 1.0, 0.5], [0.2, 0.9, 0.1]]</trajectory>
<weights>[[1.0, 0.8, 0.2], [0.9, 0.7, 0.1]]</weights>

Now produce the output for the command that follows.
",0.9672042131328416,0.9772581070107144,0.01005389387787281
